gene	logFC	fdr	betweenness	source_node_score	step_1	step_2	nbh_score	score
COX5B	3.29100284515222	5.29820412092579	852.59990048005	14866.2770280433	3333385.90918849	64135893.1706483	1.37172712021977	49.915545991829
TBC1D8	5.05925069034027	7.84759495836171	371.818721773398	14762.300197939	8376407.97201281	70029472.3216815	1.5284268703162	49.5669879530355
DOCK4	2.97119467036117	3.44828973910787	1439.56416846124	14749.1124068609	30710362.285126	49745312.762183	1.55709407569144	49.5228084823134
CXCL16	4.85740159729573	3.58752121325225	841.942235323574	14671.7117216158	21062332.2815376	56217389.2081718	1.51258789622641	49.2627997157588
TNFSF14	7.59570624515476	4.20304509704746	457.20529273948	14596.3228131798	283284.811025623	18154071.6660383	0.539007232988613	49.0064259340363
CYTH1	3.08380808523737	2.85606508855107	1652.36809970578	14553.3255820842	1865470.61251967	67314966.4024277	1.39668900352635	48.864949723033
SLC2A9	7.85113369940693	4.42564095528444	418.66838359242	14547.1767734685	2839115.1388424	65513508.4692135	1.38463494947279	48.8442656976698
ACP2	2.59687515093275	4.29474685404223	1295.53526992703	14449.0030167433	12165476.8636665	63814195.0452224	1.49422261536323	48.5150322982644
MAPKAPK3	2.26843898726644	3.42265468519793	1860.97465435009	14448.7622873968	13579480.9688989	67550245.5784205	1.56647611233576	48.5144666698885
NCAPH	2.16553416940014	3.51205069806005	1891.33887662248	14384.5131259358	1104938.51222555	64404105.6894685	1.34291280348699	48.2980107048961
AIFM3	7.16464172525089	5.0227317726194	399.69029344323	14383.2843301844	26175484.2590996	53142254.435941	1.54120516809629	48.2945509689255
RASSF4	4.23614574229408	4.9925019383057	677.802904257221	14334.8304611692	9741689.69559577	62711746.7932534	1.44395917414089	48.1315490407724
GSR	2.34008836132489	3.24884454589368	1874.95037082294	14254.4663955461	5069335.98710731	68911501.7787627	1.46581316165423	47.861814032499
ECHDC3	10.5627429161849	5.82192769373998	230.89141798787	14198.7890838955	7585794.67102175	68979579.2618389	1.50250739472368	47.6750103325021
GLMP	2.51881793006671	4.49307769584548	1251.54227644335	14164.010146693	11165322.4364559	67037202.731552	1.52557149856146	47.5583235307951
SYTL1	5.6409254005208	4.56875286153945	548.398222607533	14133.3157384953	4951803.26514008	62776977.9840135	1.37552396486286	47.4547686329085
PLIN2	7.88480346188318	3.49443133345874	512.913879570416	14132.2670253116	1330719.96284805	21211926.9314965	0.622957134672466	47.4487211484098
OS9	2.65833485963699	3.83088161387301	1378.8928042868	14042.321847264	6033705.47657553	73715299.129306	1.54723435908051	47.1498489499575
TRAPPC9	1.88395579962619	3.1444864764813	2367.06111924283	14022.6441303712	211341.680161028	5923096.18904904	0.244046515017539	47.0794092097816
ARHGAP15	7.7332748648708	4.46994557256678	405.141209571256	14004.6449223049	24274545.5445836	55453533.3808791	1.54694202459057	47.0233542429844
GLIPR2	4.48029121559592	5.28914067561878	590.482365596288	13992.5959638649	3000827.43085897	71396166.5879326	1.47174553110789	46.9826495005493
SERF2	3.32141903325645	4.18568838393487	1003.11672038749	13945.7550373194	2211513.47364404	54498999.6855907	1.21044895620387	46.8245119750266
VASP	3.99144234433263	4.17801405976639	828.443614075613	13815.3760916291	24740223.8567506	53864438.7191863	1.53121603010778	46.3878642506119
ENSG00000230747	6.9487652806766	4.68594865381202	423.751594162772	13798.0118196546	71365.2140232323	43528696.3658958	1.00169477349888	46.3277889506296
HPGDS	7.10077703513699	3.28247170231555	590.430130430211	13761.8043354944	25907.4566499536	36117905.644064	0.875157641827585	46.2058037907212
ARSB	2.76610244481273	3.72680106146562	1325.27354999977	13661.8653724553	29043927.1276425	51797212.7714807	1.56246199366606	45.8725836013318
